Month,Channel,Spend
Jan,Email,100
Jan,SEO,80
Jan,Paid Ads,120
Jan,Social Media,90
Jan,Referrals,70
Jan,Display Ads,110
Jan,Influencers,95
Feb,Email,105
Feb,SEO,85
Feb,Paid Ads,125
Feb,Social Media,92
Feb,Referrals,72
Feb,Display Ads,115
Feb,Influencers,100
Mar,Email,110
Mar,SEO,83
Mar,Paid Ads,118
Mar,Social Media,89
Mar,Referrals,75
Mar,Display Ads,112
Mar,Influencers,98
Apr,Email,108
Apr,SEO,82
Apr,Paid Ads,122
Apr,Social Media,91
Apr,Referrals,74
Apr,Display Ads,113
Apr,Influencers,97
May,Email,107
May,SEO,84
May,Paid Ads,124
May,Social Media,93
May,Referrals,76
May,Display Ads,114
May,Influencers,99
Jun,Email,112
Jun,SEO,86
Jun,Paid Ads,126
Jun,Social Media,95
Jun,Referrals,78
Jun,Display Ads,116
Jun,Influencers,101
Jul,Email,115
Jul,SEO,87
Jul,Paid Ads,128
Jul,Social Media,96
Jul,Referrals,80
Jul,Display Ads,117
Jul,Influencers,102
Aug,Email,118
Aug,SEO,88
Aug,Paid Ads,130
Aug,Social Media,97
Aug,Referrals,82
Aug,Display Ads,118
Aug,Influencers,103
Sep,Email,120
Sep,SEO,90
Sep,Paid Ads,132
Sep,Social Media,98
Sep,Referrals,83
Sep,Display Ads,119
Sep,Influencers,104
Oct,Email,122
Oct,SEO,91
Oct,Paid Ads,135
Oct,Social Media,99
Oct,Referrals,84
Oct,Display Ads,120
Oct,Influencers,105
Nov,Email,125
Nov,SEO,92
Nov,Paid Ads,138
Nov,Social Media,100
Nov,Referrals,85
Nov,Display Ads,121
Nov,Influencers,106
Dec,Email,130
Dec,SEO,95
Dec,Paid Ads,140
Dec,Social Media,102
Dec,Referrals,87
Dec,Display Ads,123
Dec,Influencers,108
